date,eeadj
01/01/96,84.79421252
01/02/96,81.747189
01/03/96,78.28075294
01/04/96,78.98533905
01/05/96,79.69910161
01/06/96,76.07785585
01/07/96,81.35848885
01/08/96,79.25460368
01/09/96,78.05946532
01/10/96,80.24629519
01/11/96,80.42124968
01/12/96,78.43544635
01/01/97,84.08421252
01/02/97,83.387189
01/03/97,81.82075294
01/04/97,87.65533905
01/05/97,83.51910161
01/06/97,81.77785585
01/07/97,85.22848885
01/08/97,86.64460368
01/09/97,83.73946532
01/10/97,86.56629519
01/11/97,87.25124968
01/12/97,81.60544635
01/01/98,87.31421252
01/02/98,91.327189
01/03/98,84.94075294
01/04/98,87.47533905
01/05/98,90.47910161
01/06/98,83.40785585
01/07/98,85.01848885
01/08/98,83.21460368
01/09/98,85.98946532
01/10/98,83.06629519
01/11/98,83.02124968
01/12/98,82.03544635
01/01/99,87.03421252
01/02/99,87.737189
01/03/99,83.20075294
01/04/99,85.83533905
01/05/99,91.82910161
01/06/99,88.86785585
01/07/99,99.54848885
01/08/99,95.97460368
01/09/99,96.20946532
01/10/99,98.02629519
01/11/99,95.61124968
01/12/99,100.5354464
01/01/00,100.7442125
01/02/00,103.737189
01/03/00,108.1907529
01/04/00,107.3653391
01/05/00,108.9091016
01/06/00,106.9078558
01/07/00,109.1784888
01/08/00,112.9646037
01/09/00,116.1494653
01/10/00,113.2562952
01/11/00,113.0712497
01/12/00,117.3454464
01/01/01,106.0042125
01/02/01,109.017189
01/03/01,111.0207529
01/04/01,98.84533905
01/05/01,103.5891016
01/06/01,103.4078558
01/07/01,97.68848885
01/08/01,96.56460368
01/09/01,94.71946532
01/10/01,93.31629519
01/11/01,97.47124968
01/12/01,98.58544635
01/01/02,94.96421252
01/02/02,95.237189
01/03/02,96.31075294
01/04/02,93.43533905
01/05/02,94.16910161
01/06/02,94.46785585
01/07/02,89.68848885
01/08/02,92.52460368
01/09/02,92.12946532
01/10/02,93.53629519
01/11/02,92.37124968
01/12/02,89.73544635
01/01/03,94.78421252
01/02/03,92.877189
01/03/03,90.86075294
01/04/03,91.92533905
01/05/03,90.08910161
01/06/03,93.40785585
01/07/03,93.35848885
01/08/03,93.82460368
01/09/03,96.97946532
01/10/03,96.85629519
01/11/03,97.27124968
01/12/03,97.73544635
01/01/04,95.32421252
01/02/04,98.237189
01/03/04,97.07075294
01/04/04,97.88533905
01/05/04,97.39910161
01/06/04,96.61785585
01/07/04,97.76848885
01/08/04,96.42460368
01/09/04,98.07946532
01/10/04,96.31629519
01/11/04,95.98124968
01/12/04,102.2854464
01/01/05,97.09421252
01/02/05,96.527189
01/03/05,97.48075294
01/04/05,98.56533905
01/05/05,96.05910161
01/06/05,101.3078558
01/07/05,100.8184888
01/08/05,100.2046037
01/09/05,103.4494653
01/10/05,102.0862952
01/11/05,103.2812497
01/12/05,103.1354464
01/01/06,104.6042125
01/02/06,105.827189
01/03/06,108.1007529
01/04/06,109.8653391
01/05/06,107.9091016
01/06/06,111.5878558
01/07/06,109.4984888
01/08/06,107.4346037
01/09/06,114.4494653
01/10/06,114.2462952
01/11/06,109.9212497
01/12/06,109.1054464
01/01/07,109.3742125
01/02/07,110.067189
01/03/07,117.6807529
01/04/07,111.0853391
01/05/07,113.2891016
01/06/07,115.3778558
01/07/07,110.4484888
01/08/07,110.9146037
01/09/07,114.5294653
01/10/07,113.9462952
01/11/07,112.0812497
01/12/07,115.8754464
01/01/08,114.8942125
01/02/08,111.197189
01/03/08,113.2807529
01/04/08,115.1653391
01/05/08,108.0391016
01/06/08,110.1978558
01/07/08,105.3184888
01/08/08,106.1146037
01/09/08,102.1494653
01/10/08,101.1562952
01/11/08,96.33124968
01/12/08,89.91544635
01/01/09,82.82421252
01/02/09,81.157189
01/03/09,78.36075294
01/04/09,80.51533905
01/05/09,78.93910161
01/06/09,77.87785585
01/07/09,81.45848885
01/08/09,82.20460368
01/09/09,80.73946532
01/10/09,81.73629519
01/11/09,84.30124968
01/12/09,91.25544635
01/01/10,84.72421252
01/02/10,84.707189
01/03/10,86.58075294
01/04/10,91.04533905
01/05/10,90.03910161
01/06/10,96.20785585
01/07/10,91.42848885
01/08/10,94.98460368
01/09/10,89.14946532
01/10/10,91.81629519
01/11/10,97.98124968
01/12/10,92.21544635
01/01/11,98.01421252
01/02/11,95.127189
01/03/11,96.44075294
01/04/11,95.83533905
01/05/11,98.23910161
01/06/11,95.16785585
01/07/11,95.32848885
01/08/11,94.42460368
01/09/11,87.68946532
01/10/11,88.90629519
01/11/11,89.58124968
01/12/11,87.07544635
01/01/12,91.88421252
01/02/12,91.007189
01/03/12,89.76075294
